generation,leftchild,rightchild,abstime,betainit,betashift
1830000,Rana_vibicaria,NA,40.7292,0.0153053,0.036175
1840000,Rana_shuchinae,Rana_okaloosae,0,0.00114916,0.00938354
1850000,Rana_shuchinae,Rana_okaloosae,0,0.00139917,0.00820318
1860000,Rana_shuchinae,Rana_okaloosae,0,0.000935781,0.0180496
1860000,Rana_sauteri,NA,32.4244,0.00369076,0.00411767
1860000,Rana_sierramadrensis,NA,24.816,0.00549003,-0.0372133
1870000,Rana_shuchinae,Rana_okaloosae,0,0.00142309,-0.00359411
1880000,Rana_shuchinae,Rana_okaloosae,0,0.00116557,0.0263292
1890000,Rana_shuchinae,Rana_okaloosae,0,0.00154935,0.0216283
1900000,Rana_shuchinae,Rana_okaloosae,0,0.001542,-0.0109274
1910000,Rana_shuchinae,Rana_okaloosae,0,0.00182799,-0.0126467
1910000,Rana_zhengi,NA,41.5274,0.00225452,0.00839913
1910000,Rana_tagoi,Rana_sakuraii,27.3798,0.000121975,-0.0152283
1910000,Rana_juliani,NA,38.9695,0.00476287,-0.0306453
1920000,Rana_shuchinae,Rana_okaloosae,0,0.00359825,-0.0158924
1920000,Rana_okaloosae,NA,14.4208,0.00619146,0.0462071
