generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2820000,1,5.77693,-107.311,0.280563,0.45
2830000,1,3.18762,-109.369,1.32643,0.455
2840000,2,6.38671,-109.894,2.23034,0.433592
2850000,0,3.16425,-111.446,0.114409,0.3978
2860000,0,3.67858,-113.505,0.241834,0.4986
2870000,0,3.02303,-112.554,0.560536,0.41885
2880000,1,1.55056,-109.79,0.793292,0.439437
2890000,2,0.0386488,-106.388,1.17942,0.5154
2900000,0,2.89901,-111.954,0.473001,0.423678
2910000,0,3.93297,-114.646,0.0297117,0.4045
2920000,0,2.97687,-111.793,0.407027,0.406
2930000,3,10.0095,-110.111,1.90701,0.4899
2940000,0,3.36824,-115.234,0.0821248,0.45462
2950000,1,2.2459,-110.265,1.08454,0.3824
2960000,0,2.07634,-112.163,1.78158,0.470633
2970000,1,5.29238,-113.57,0.838331,0.428667
2980000,0,0.853667,-114.449,1.54076,0.39775
2990000,0,3.24535,-111.413,0.366895,0.3795
3000000,0,2.56237,-113.486,1.481,0.4022
3010000,1,6.30116,-113.33,0.566914,0.408
3020000,1,6.72624,-112.926,1.41431,0.4176
3030000,1,4.0878,-106.489,1.59805,0.4717
3040000,1,2.17972,-109.628,0.344916,0.4288
3050000,2,4.80809,-107.427,1.35489,0.53585
3060000,1,3.74321,-112.975,0.639509,0.43076
3070000,1,5.80477,-107.666,1.11109,0.435476
3080000,1,5.12544,-111.919,1.32597,0.5298
3090000,0,3.40084,-112.837,0.0491161,0.4815
3100000,1,1.62137,-110.27,0.655654,0.53625
3110000,1,3.42911,-104.955,1.61334,0.5408
3120000,0,3.33816,-118.646,0.366836,0.487443
3130000,5,11.436,-105.006,3.81023,0.5342
3140000,1,2.54534,-106.457,0.697993,0.4537
3150000,3,9.55548,-111.336,1.14217,0.5505
3160000,2,7.38689,-110.163,1.10431,0.531
3170000,2,6.87217,-108.263,1.29475,0.420691
3180000,1,4.09783,-107.174,0.70296,0.535433
3190000,2,7.44349,-107.355,1.14246,0.536913
3200000,0,3.27735,-111.843,0.0314623,0.5032
3210000,0,3.74872,-116.103,0.160534,0.4178
3220000,0,2.9028,-113.054,0.0108334,0.517425
3230000,0,2.61778,-113.132,1.34702,0.4477
3240000,0,3.4345,-111.253,0.115893,0.449729
3250000,3,11.6711,-112.379,1.24365,0.4176
3260000,0,2.38825,-116.599,0.135044,0.3906
3270000,0,1.4132,-112.542,1.12506,0.4162
3280000,0,2.60183,-113.46,0.45187,0.43475
3290000,0,2.95116,-111.444,0.382812,0.3939
3300000,0,1.6962,-113.128,0.356215,0.510486
3310000,0,3.29834,-112.889,0.29323,0.39385
3320000,0,2.98581,-112.286,0.0497703,0.391275
3330000,2,7.19843,-109.72,0.786675,0.4484
3340000,1,5.63322,-109.404,0.941346,0.4924
3350000,1,1.49206,-106.536,2.04559,0.46725
3360000,1,-1.09587,-107.688,0.53723,0.5209
3370000,2,6.81669,-109.905,1.103,0.49335
3380000,1,4.77825,-105.573,0.416709,0.5392
3390000,1,6.00768,-107.578,0.81911,0.445838
3400000,1,6.45383,-107.589,0.288938,0.54495
3410000,1,0.379857,-105.357,2.08824,0.54735
3420000,1,5.37196,-109.601,0.982438,0.5413
3430000,1,5.33313,-113.65,0.584629,0.522771
3440000,0,3.21511,-112.992,0.0610358,0.452143
3450000,0,3.24935,-113.038,0.664036,0.5125
3460000,1,2.18599,-114.474,2.14763,0.4077
3470000,0,3.0118,-112.425,0.650013,0.4051
3480000,1,5.32445,-113.141,0.741341,0.393367
3490000,0,1.79398,-113.193,0.506737,0.38535
