Species;Genus;SVL;HL;HW;ED;TD;ETD;IOD;IND;UEW;EN;SL;NS;HAL;FLL;LAL;FL;TFL;TL;THL;TSL;HLL
Rana_arvalis;Rana;48.8;16.7;17.1;5.5;3.1;NA;3.2;3.8;3.8;NA;6.4;NA;NA;NA;19.9;25.2;35.1;22;NA;NA;71.4
Rana_asiatica;Rana;54.3;19.7;18.2;6.6;3.8;NA;2.6;3.9;4.3;NA;7.7;NA;NA;NA;24.4;31.5;42.8;26.1;NA;NA;91.8
Rana_aurora;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_boylii;Rana;44.06666667;15;17.51666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.73333333
Rana_cascadae;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_chaochiaoensis;Rana;49.89;15.84;16.5;5.11;4.45;NA;6.67;3.67;3.73;NA;7.97;NA;NA;22.66;NA;28.47;NA;31.39;29.91;NA;NA
Rana_chensinensis;Rana;46.9;15.7;15.9;5.8;2.9;NA;3.4;3.6;3.4;NA;6.5;NA;NA;NA;22;27.9;38.5;26;NA;NA;85.8
Rana_coreana;Rana;42.58;12.59;12.53;4;2.12;NA;2.49;2.49;NA;NA;5.18;NA;NA;NA;NA;25.18;NA;21.19;NA;NA;66.17
Rana_dalmatina;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_dybowskii;Rana;56.2;18.827;19.2204;5.62;3.934;NA;3.7092;3.9902;4.2712;NA;7.6994;NA;NA;NA;NA;34.001;NA;30.2356;28.1562;NA;100.3732
Rana_hanluica;Rana;58.97;18.54;18.62;5.71;4.83;NA;7.85;4.25;4.5;NA;9.5;NA;NA;26.35;NA;33.06;NA;38.43;36.51;NA;NA
Rana_huanrensis;Rana;42.8;14;15.3;4.6;2.4;NA;3.2;3.7;3.4;NA;5.7;NA;NA;NA;19;23.2;31;24.2;NA;NA;72.4
Rana_iberica;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_japonica;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_johnsi;Rana;44.1;15.8;14.5;5.6;4.5;NA;3.7;4.5;3.6;NA;6.1;NA;11.7;NA;20.4;24;35.9;27.9;NA;NA;84
Rana_kukunoris;Rana;56.3;17.5;18.2;6.2;3.1;NA;3.5;4.1;4.3;NA;8;NA;15.4;NA;26;31;42.1;26.8;NA;NA;90.8
Rana_latastei;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_longicrus;Rana;41.5;13;11.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.7;NA;NA;24.1;NA;NA;77.1
Rana_luteiventris;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_macrocnemis;Rana;57.5;17.53;19.89;NA;NA;NA;3.88;4.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;31.34;28.88;NA;32.93
